id,title,sector,status,subsector,co2e,diagramDescription,transitionLabel,transitionUnit,emissionsLatestValue,emissionsLatestYear,modelType,outcomeLatestValue,outcomeLatestYear,targetLatestValue,targetDiff,targetDiffPct
00512529-cd61-4982-b096-7c1cde6ebe65,Elektrifiering av produktion,industry,5.0,cement_and_concrete,0.399,Andel elektrifierade processer,,Andel elektrifierade processer,0.399,2022.0,custom,0.0,2023.0,0.0,0.0,
0328c7f3-a938-42c4-a62c-b238180ddd27,Fossilfri vätgasproduktion,industry,5.0,refineries,0.273,Förnybar vätgasproduktion,,"Förnybar vätgasproduktion, ton/år",0.273,2022.0,custom,0.0,2022.0,2164.0,-2164.0,-1.0
06b6adcd-eb6b-4f75-99ee-0466582cb68f,CCS i avfallsförbränning,energy,5.0,electricity_and_district_heating,0.2225,Andel CCS i avfallsförbränning,,"Andel CCS, procent",0.2225,2022.0,custom,0.0,2022.0,0.0,0.0,
09eabf4b-ad4a-417d-9994-fa538b88184f,Förbättrad fordonsteknik,transport,5.0,mobility,0.851,Energieffektivitet nya bensin och dieselbilar,,"Effektivitet, km/kWh",0.851,2022.0,custom,1.71,2023.0,1.996,-0.28600000000000003,-0.14328657314629256
12a60298-5958-4463-96ab-6b9d796375e5,Ökad fyllnadsgrad för tunga godstransporter,transport,5.0,freight,0.5726,Fyllnadsgrad tung lastbil,,"Genomsnittlig last, ton",0.5726,2022.0,custom,13.62,2019.0,13.47,0.14999999999999858,0.011135857461024301
13c15a97-b952-4782-828e-8a85c8d39ab4,Produktion med vätgas,industry,5.0,iron_and_steel,4.862,Andel stål som produceras med vätgasprocess,,"Andel vätgasprocess, %",4.862,2022.0,custom,0.0,2019.0,0.0,0.0,
14ae8d72-a905-44e1-b8e3-f056b6900ba5,Överflyttning av fraktat gods till sjöfart,transport,5.0,freight,0.1227,Gods med sjötransport,,"Transportarbete inrikes sjöfart, Mtonkm",0.1227,2022.0,custom,7910.0,2021.0,8099.6,-189.60000000000036,-0.023408563385846293
18b3b22b-3988-4562-8376-0e8675c4ef2c,Minskat lustgasutsläpp genom återvätning,agriculture,5.0,,0.13,,,Hektar återställd våtmark,0.13,2022.0,custom,7007.0,2022.0,1147046.7428571428,-1140039.7428571428,-0.993891268996984
18d939a9-dd4f-48f9-b2f4-b5f81be5bf5b,Biobränsle för övriga industrier,industry,5.0,industry_other,0.966,Andel biobränsle,,"Andel biobränsle, %",0.966,2022.0,custom,67.66,2020.0,65.25395595714286,2.4060440428571326,0.036872002740145904
1c910ad7-5124-4d9f-9758-a9a0a19e7f37,Biobränsle för cement och mineralindustri,industry,5.0,cement_and_concrete,0.204,Andel biobränsle,,"Andel biobränsle, %",0.3192,2022.0,custom,14.25,2022.0,18.712114285714286,-4.462114285714286,-0.23846125657328177
1d415104-3947-40e6-bd96-c3d0def3466e,Ökad andel förnybart i bensin,transport,5.0,mobility,0.07659,Andel biodrivmedel,,"Andel biodrivmedel, %",0.07659,2022.0,custom,12.0,2022.0,12.8,-0.8000000000000007,-0.0625
1e7a3484-9175-490f-b739-a9c17ff5259d,Ökad andel resfria möten och tjänster,transport,5.0,mobility,0.5106,Andel resfria möten,,"Andel resfria möten, %",0.5106,2022.0,custom,,,,,
2045535a-b005-4be9-bdf2-cf0b49f05732,Ersättning av lösningsmedel,other,5.0,solvents,0.1326,,,,0.1326,2022.0,custom,,,,,
206f6b8d-c66c-477f-bed1-0204ccfad522,Övergång till elbil,transport,5.0,mobility,4.8507,Antal laddbara bilar,,Antal laddbara bilar,4.8507,2022.0,custom,564020.0,2023.0,543251.0,20769.0,0.03823094665265225
24d0ebb5-d3cc-4822-a447-315cf5162495,Inerta anoder,industry,5.0,metals,0.1824,Andel primär aluminiumproduktion med inerta anoder,,"Andel inerta anoder, %",0.1824,2022.0,custom,0.0,2023.0,37.142857142857146,-37.142857142857146,-1.0
28105d6c-e7e0-4f15-a6fc-a2f8893237ac,Byte till fjärrvärme i byggnader,energy,5.0,local_heating,0.2388,Konvertering till fjärrvärme,,Antal konverterade oljepannor,0.2388,2022.0,custom,18354.0,2019.0,7096.0,11258.0,1.5865276211950397
2bc6c9c3-6a2e-4b51-b25a-95cb4a49be4b,Elektrifiering,industry,5.0,industry_other,0.414,Andel elektrifiering,,"Andel el, %",0.414,2022.0,custom,54.68,2021.0,60.824141444571424,-6.144141444571424,-0.10101484868751553
2dd04c9a-fe77-4f84-93e6-5e8566f79ee5,Ökad andel gång och cykeltrafik,transport,5.0,mobility,0.53613,Andel persontransport som är gång/cykeltrafik,,"Andel gång och cykel, %",0.53613,2022.0,custom,3.34,2022.0,3.0342,0.30580000000000007,0.10078439127282324
38b15848-5fe5-4d0e-8f57-845297a37cce,Effektivare behandling,other,5.0,waste,0.235,,,,0.235,2022.0,custom,,,,,
3d29d226-18be-4e0b-b31b-160173c5b88a,Kvarvarande utsläpp,agriculture,0.0,,0.0,,,,1.768,2022.0,custom,,,,,
